Season,Club,First Name,Last Name,Position,Total Compensation,Base Salary
2009,Chicago Fire FC,Daniel,Woolard,D,"$34,000.00","$34,000.00"
2009,Chivas USA,Jorge,Flores,F,"$34,000.00","$34,000.00"
2009,Columbus Crew SC,Stanley,Nyazamba,F,"$34,000.00","$34,000.00"
2009,Columbus Crew SC,Kenny,Schoeni,GK,"$34,000.00","$34,000.00"
2009,DC United,Andrew,Jacobson,M,"$34,000.00","$34,000.00"
2009,DC United,Greg,Janicki,D,"$34,000.00","$34,000.00"
2009,Houston Dynamo,Michael,Chabala,M,"$34,000.00","$34,000.00"
2009,Sporting Kansas City,Michael,Kraus,M-F,"$34,000.00","$34,000.00"
2009,Sporting Kansas City,Jonathan,Leathers,D,"$34,000.00","$34,000.00"
2009,Sporting Kansas City,Kevin,Souter,M,"$34,000.00","$34,000.00"
2009,Sporting Kansas City,Lance,Watson,M,"$34,000.00","$34,000.00"
2009,LA Galaxy,Bryan,Jordan,F,"$34,000.00","$34,000.00"
2009,New England Revolution,Brad,Knighton,GK,"$34,000.00","$34,000.00"
2009,New England Revolution,Chris,Tierney,D-M,"$34,000.00","$34,000.00"
2009,New England Revolution,Michael,Videira,M,"$34,000.00","$34,000.00"
2009,New York Red Bulls,Daniel,Cepero,GK,"$34,000.00","$34,000.00"
2009,New York Red Bulls,Luke,Sassano,M-D,"$34,000.00","$34,000.00"
2009,Real Salt Lake,Jean,Alexandre,M,"$34,000.00","$34,000.00"
2009,Real Salt Lake,David,Horst,D,"$34,000.00","$34,000.00"
2009,Real Salt Lake,Kyle,Reynish,GK,"$34,000.00","$34,000.00"
2009,Seattle Sounders FC,Stephen,King,M,"$34,000.00","$34,000.00"
2009,San Jose Earthquakes,Quincy,Amarikwa,F,"$34,000.00","$34,000.00"
2009,San Jose Earthquakes,Bobby,Burling,D,"$34,000.00","$34,000.00"
2009,Toronto FC,Nana,Attakora-Gyan,D,"$34,000.00","$34,000.00"
2009,DC United,Bill,Hamid,GK,"$26,767.00","$20,100.00"
2009,Chicago Fire FC,Peter,Lowry,F-M,"$20,100.00","$20,100.00"
2009,Chicago Fire FC,Austin,Washington,D,"$20,100.00","$20,100.00"
2009,Chivas USA,Justin,Braun,F,"$20,100.00","$20,100.00"
2009,Chivas USA,Chukwudi,Chijindu,M,"$20,100.00","$20,100.00"
2009,Chivas USA,Gerson,Mayen,M,"$20,100.00","$20,100.00"
2009,Chivas USA,Lance,Parker,GK,"$20,100.00","$20,100.00"
2009,Chivas USA,Cesar,Zamora,M,"$20,100.00","$20,100.00"
2009,Columbus Crew SC,Kevin,Burns,M,"$20,100.00","$20,100.00"
2009,Columbus Crew SC,Cory,Elenio,M,"$20,100.00","$20,100.00"
2009,Columbus Crew SC,Alex,Grendi,M,"$20,100.00","$20,100.00"
2009,Colorado Rapids,Steward,Ceus,GK,"$20,100.00","$20,100.00"
2009,Colorado Rapids,Michael,Holody,D,"$20,100.00","$20,100.00"
2009,Colorado Rapids,Ross,Schunk,F,"$20,100.00","$20,100.00"
2009,DC United,Brandon,Barklage,M-F,"$20,100.00","$20,100.00"
2009,DC United,John,DiRaimondo,M,"$20,100.00","$20,100.00"
2009,DC United,Milos,Kocic,GK,"$20,100.00","$20,100.00"
2009,Houston Dynamo,Tyler,Deric,GK,"$20,100.00","$20,100.00"
2009,Houston Dynamo,John-Michael,Hayden,M,"$20,100.00","$20,100.00"
2009,Houston Dynamo,Erik,Ustruck,F,"$20,100.00","$20,100.00"
2009,Sporting Kansas City,Matt,Marquess,D,"$20,100.00","$20,100.00"
2009,Sporting Kansas City,Boris,Pardo,GK,"$20,100.00","$20,100.00"
2009,LA Galaxy,Yohance,Marshall,D,"$20,100.00","$20,100.00"
2009,LA Galaxy,Kyle,Patterson,M,"$20,100.00","$20,100.00"
2009,New England Revolution,Robert,Shuttleworth,GK,"$20,100.00","$20,100.00"
2009,New York Red Bulls,Danleigh,Borman,D-M,"$20,100.00","$20,100.00"
2009,New York Red Bulls,Giorgi,Chirgadze,F,"$20,100.00","$20,100.00"
2009,New York Red Bulls,Matthew,M'Buta,M,"$20,100.00","$20,100.00"
2009,New York Red Bulls,Nick,Zimmerman,D,"$20,100.00","$20,100.00"
2009,Real Salt Lake,Raphael,Cox,D,"$20,100.00","$20,100.00"
2009,Real Salt Lake,Tino,Nunez,M,"$20,100.00","$20,100.00"
2009,Seattle Sounders FC,Evan,Brown,D,"$20,100.00","$20,100.00"
2009,Seattle Sounders FC,Michael,Fucito,M,"$20,100.00","$20,100.00"
2009,Seattle Sounders FC,Sanna,Nyassi,M,"$20,100.00","$20,100.00"
2009,San Jose Earthquakes,Mike,Graczyk,GK,"$20,100.00","$20,100.00"
2009,San Jose Earthquakes,Brandon,McDonald,M,"$20,100.00","$20,100.00"
2009,San Jose Earthquakes,Jamil,Roberts,D,"$20,100.00","$20,100.00"
2009,San Jose Earthquakes,Michael,Zaher,D,"$20,100.00","$20,100.00"
2009,Toronto FC,Gabe,Gala,D-M,"$20,100.00","$20,100.00"
2009,DC United,Tiyiselani,Shipalane,M,"$16,300.00","$15,300.00"
2009,DC United,Ely,Allen,F-M,"$15,300.00","$15,300.00"
2009,Seattle Sounders FC,Lamar,Neagle,M,"$15,300.00","$15,300.00"
2010,LA Galaxy,David,Beckham,M,"$6,500,000.00","$5,500,000.00"
2010,New York Red Bulls,Thierry,Henry,F,"$5,600,000.00","$5,000,000.00"
2010,New York Red Bulls,Rafael,Marquez,D,"$5,544,000.00","$5,544,000.00"
2010,LA Galaxy,Landon,Donovan,F,"$2,127,778.00","$2,050,000.00"
2010,New York Red Bulls,Juan Pablo,Angel,F,"$1,918,000.00","$1,620,000.00"
2010,Chicago Fire FC,Nery,Castillo,M-F,"$1,788,061.00","$1,400,004.00"
