Club,Year,Total Salary,Average,Highest,Lowest
Sporting Kansas City,2011,2273014.0,108238.76190476191,258750.0,32604.0
Sporting Kansas City,2012,2549560.0,110850.43478260869,255500.0,33750.0
Sporting Kansas City,2013,3038188.0,126591.16666666667,383250.0,35125.0
Sporting Kansas City,2014,3882514.0,161771.41666666666,633250.0,36500.0
Sporting Kansas City,2015,5513840.0,250629.0909090909,750000.0,50000.0
Sporting Kansas City,2016,5445302.0,272265.1,800000.0,51500.0
Sporting Kansas City,2017,5646408.0,225856.32,850000.0,53000.0
Sporting Kansas City,2018,6621521.0,315310.5238095238,900000.0,54500.0
Sporting Kansas City,2019,9411840.0,427810.9090909091,1450000.0,56250.0
Toronto FC,2010,2984044.0,229541.84615384616,1717546.0,40000.0
Toronto FC,2011,6430016.0,214333.86666666667,1910746.0,32604.0
Toronto FC,2012,7105770.0,296073.75,2413667.0,44000.0
Toronto FC,2013,3975012.0,172826.60869565216,1663323.0,35125.0
Toronto FC,2014,15054221.0,654531.3478260869,6500000.0,36504.0
Toronto FC,2015,21309438.0,1014735.1428571428,7115556.0,60000.0
Toronto FC,2016,21056975.0,1002713.0952380953,7115556.0,51500.0
Toronto FC,2017,21975521.0,879020.84,7115556.0,53004.0
Toronto FC,2018,23034981.0,1151749.05,7115556.0,54500.0
Toronto FC,2019,23041796.0,921671.84,6500000.0,56250.0
Vancouver Whitecaps,2011,3347630.0,128755.0,900000.0,32600.0
Vancouver Whitecaps,2012,4641602.0,201808.78260869565,1239316.0,44000.0
Vancouver Whitecaps,2013,4182400.0,181843.47826086957,1124992.0,46500.0
Vancouver Whitecaps,2014,4738949.0,189557.96,1410900.0,36504.0
Vancouver Whitecaps,2015,5583525.0,214750.96153846153,1410900.0,50000.0
Vancouver Whitecaps,2016,5853137.0,234125.48,1471400.0,51500.0
Vancouver Whitecaps,2017,7316019.0,270963.6666666667,1800000.0,54075.0
Vancouver Whitecaps,2018,7097071.0,322594.13636363635,1000000.0,54500.0
Vancouver Whitecaps,2019,5398965.0,299942.5,1277500.0,56250.0
